"type","pattern","sample","training","num_bits","lures","bit_flips"
"4","0001",FALSE,FALSE,1,"0011",1
"4","0001",FALSE,FALSE,1,"1001",1
"4","0001",FALSE,FALSE,1,"0101",1
"4","0001",FALSE,FALSE,1,"1000",2
"4","0001",FALSE,FALSE,1,"0100",2
"4","0001",FALSE,FALSE,1,"0111",2
"4","0001",FALSE,FALSE,1,"1010",3
"4","0001",FALSE,FALSE,1,"1100",3
"4","0001",FALSE,FALSE,1,"0110",3
"4","0010",FALSE,FALSE,1,"0110",1
"4","0010",FALSE,FALSE,1,"1010",1
"4","0010",FALSE,FALSE,1,"0011",1
"4","0010",FALSE,FALSE,1,"1011",2
"4","0010",FALSE,FALSE,1,"0111",2
"4","0010",FALSE,FALSE,1,"0100",2
"4","0010",FALSE,FALSE,1,"1001",3
"4","0010",FALSE,FALSE,1,"1100",3
"4","0010",FALSE,FALSE,1,"0101",3
"4","0011",FALSE,FALSE,2,"0111",1
"4","0011",FALSE,FALSE,2,"1011",1
"4","0011",FALSE,FALSE,2,"0010",1
"4","0011",FALSE,FALSE,2,"1010",2
"4","0011",FALSE,FALSE,2,"0110",2
"4","0011",FALSE,FALSE,2,"0101",2
"4","0011",FALSE,FALSE,2,"1000",3
"4","0011",FALSE,FALSE,2,"1110",3
"4","0011",FALSE,FALSE,2,"1101",3
"4","0100",FALSE,FALSE,1,"0110",1
"4","0100",FALSE,FALSE,1,"0101",1
"4","0100",FALSE,FALSE,1,"1100",1
"4","0100",FALSE,FALSE,1,"1101",2
"4","0100",FALSE,FALSE,1,"0001",2
"4","0100",FALSE,FALSE,1,"0010",2
"4","0100",FALSE,FALSE,1,"1010",3
"4","0100",FALSE,FALSE,1,"1001",3
"4","0100",FALSE,FALSE,1,"0011",3
"4","0101",FALSE,TRUE,2,"0001",1
"4","0101",FALSE,TRUE,2,"1101",1
"4","0101",FALSE,TRUE,2,"0100",1
"4","0101",FALSE,TRUE,2,"0011",2
"4","0101",FALSE,TRUE,2,"1001",2
"4","0101",FALSE,TRUE,2,"1100",2
"4","0101",FALSE,TRUE,2,"1110",3
"4","0101",FALSE,TRUE,2,"1000",3
"4","0101",FALSE,TRUE,2,"1011",3
"4","0110",FALSE,FALSE,2,"0010",1
"4","0110",FALSE,FALSE,2,"1110",1
"4","0110",FALSE,FALSE,2,"0111",1
"4","0110",FALSE,FALSE,2,"1100",2
"4","0110",FALSE,FALSE,2,"1010",2
"4","0110",FALSE,FALSE,2,"0011",2
"4","0110",FALSE,FALSE,2,"1101",3
"4","0110",FALSE,FALSE,2,"1011",3
"4","0110",FALSE,FALSE,2,"1000",3
"4","0111",FALSE,FALSE,3,"0101",1
"4","0111",FALSE,FALSE,3,"0110",1
"4","0111",FALSE,FALSE,3,"0011",1
"4","0111",FALSE,FALSE,3,"1110",2
"4","0111",FALSE,FALSE,3,"0010",2
"4","0111",FALSE,FALSE,3,"0001",2
"4","0111",FALSE,FALSE,3,"1100",3
"4","0111",FALSE,FALSE,3,"1010",3
"4","0111",FALSE,FALSE,3,"1001",3
"4","1000",FALSE,FALSE,1,"1010",1
"4","1000",FALSE,FALSE,1,"1001",1
"4","1000",FALSE,FALSE,1,"1100",1
"4","1000",FALSE,FALSE,1,"0001",2
"4","1000",FALSE,FALSE,1,"1101",2
